,Bezeichnung Bohrung,Klassifizierung nach Grenzlehrdorn,Klassifizierung nach Messchraube,Klassifizierung nach Messtaster,Messwert Innenmessschraube,Messwert Messtaster,Unnamed: 0,Unnamed: 6
615,,i.O.,i.O.,n.i.O.,12.013,12.02,1831.0,
616,,i.O.,i.O.,n.i.O.,12.012,12.025,1832.0,
617,,i.O.,i.O.,i.O.,12.014000000000001,12.017999999999999,1833.0,
618,,i.O.,i.O.,n.i.O.,12.015,12.023,1834.0,
619,,i.O.,i.O.,n.i.O.,12.013,12.027000000000001,1835.0,
620,,i.O.,n.i.O.,n.i.O.,12.022,12.027999999999999,1836.0,
621,,i.O.,i.O.,n.i.O.,12.017999999999999,12.027999999999999,1837.0,
622,,i.O.,i.O.,n.i.O.,12.017000000000001,12.023,1838.0,
623,,i.O.,n.i.O.,n.i.O.,12.02,12.027999999999999,1839.0,
624,,i.O.,i.O.,n.i.O.,12.015,12.029000000000002,1840.0,
625,,i.O.,i.O.,n.i.O.,12.013,12.02,1841.0,
626,,i.O.,n.i.O.,n.i.O.,12.020999999999999,12.027000000000001,1842.0,
627,,i.O.,i.O.,n.i.O.,12.015,12.026,1843.0,
628,,i.O.,i.O.,n.i.O.,12.015,12.02,1844.0,
629,,i.O.,n.i.O.,n.i.O.,12.019,12.029000000000002,1845.0,
630,,i.O.,n.i.O.,n.i.O.,12.023,12.025,1846.0,
631,,i.O.,i.O.,n.i.O.,12.017999999999999,12.03,1847.0,
632,,i.O.,n.i.O.,n.i.O.,12.019,12.034,1848.0,
633,,i.O.,i.O.,n.i.O.,12.017999999999999,12.023,1849.0,
634,,i.O.,n.i.O.,n.i.O.,12.02,12.029000000000002,1850.0,
635,,i.O.,i.O.,n.i.O.,12.017999999999999,12.025,1851.0,
636,,i.O.,i.O.,n.i.O.,12.015999999999998,12.027000000000001,1852.0,
637,,i.O.,i.O.,i.O.,12.014000000000001,12.017999999999999,1853.0,
638,,i.O.,n.i.O.,n.i.O.,12.022,12.032,1854.0,
