,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
48,48,,-7.669999999999999,0.0,448.6556666666667,175.50653846153844,0.5,635.5,1.0,0.8333333333333334,,0.5,0.42384615384615376,0.0,395.33,0.7142857142857143,0.7142857142857143,26.875,-287.06840000000005,14.071428571428573,2019-12-09 08:23:53.275,,,,0.15,,,,,i.O.,n.i.O.,i.O.,15,49
49,49,,9.130809523809523,-11.504000000000001,606.9991818181818,194.63846153846157,0.5294117647058824,635.5,1.0,0.0,,0.5,0.31166666666666665,7.0,410.26,4.0,0.6666666666666666,-204.42857142857144,-290.31916666666666,15.588235294117649,2019-12-09 08:23:58.528,,,,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,15,50
50,50,,1.4750384615384604,-240.232,595.5826666666667,186.08076923076922,0.5,635.2777777777778,1.0,0.6666666666666666,,0.5,0.4730769230769232,939.0,424.44,5.5,0.8333333333333334,-113.875,-290.3325000000001,23.272727272727273,2019-12-09 08:24:03.614,,,,0.13636363636363638,,,,,n.i.O.,n.i.O.,i.O.,15,51
51,51,3.333333333333333,2.130555555555554,100.604,99.52763636363642,160.75185185185185,0.4736842105263158,635.4705882352941,1.0,0.0,,0.4545454545454545,0.4,5206.666666666667,439.94,5.2,0.875,75.0,-285.9892,21.76923076923077,2019-12-09 08:24:08.910,,,27.905,0.12222222222222225,,,,,n.i.O.,n.i.O.,i.O.,15,52
52,52,4.0,-2.5011304347826098,387.7545,-316.23477777777765,185.67423076923072,0.5294117647058824,635.45,1.0,1.0,,0.6,0.2769230769230769,3780.5,455.885,14.0,0.875,303.375,-286.88519999999994,18.25,2019-12-09 08:24:14.220,,,27.905,0.13636363636363638,,,,,i.O.,n.i.O.,i.O.,15,53
53,53,,3.0680000000000005,0.0,-172.286875,174.854,0.4761904761904762,635.5,0.5,1.0,,0.5,0.2253846153846154,0.0,470.33,0.5,0.8333333333333334,281.14285714285717,-290.87625,14.538461538461537,2019-12-09 08:24:19.507,,,27.89,0.15,,,,,i.O.,n.i.O.,i.O.,15,54
54,54,3.8,2.1305925925925893,-286.47366666666665,267.0796,190.31785714285712,0.5,635.5,1.7142857142857142,0.8333333333333334,,0.8888888888888888,0.30615384615384617,-8964.25,407.2933333333333,5.666666666666668,1.2222222222222223,18.375,-286.5664000000001,15.333333333333336,2019-12-09 08:24:24.543,,,,0.15000000000000002,50.3495,1496.0,-325.865,,i.O.,n.i.O.,i.O.,15,55
55,55,,-6.7112500000000015,-2.03,677.4388888888888,176.71192307692306,0.5384615384615384,635.5,1.0,0.5,,0.5,0.3453846153846153,0.0,365.31,0.8333333333333334,0.6666666666666666,98.54545454545456,-287.3424000000001,15.923076923076925,2019-12-09 08:24:30.077,74.29,,,0.15555555555555556,,,,,i.O.,n.i.O.,i.O.,15,56
56,56,,3.6875000000000013,-157.673,644.3856000000002,168.15153846153848,0.5,635.6,1.0,0.5,,0.4545454545454545,0.26384615384615384,533.0,383.41666666666674,5.0,0.7142857142857143,-122.55555555555556,-286.896,20.428571428571427,2019-12-09 08:24:35.321,,,,0.1444444444444445,,,,,i.O.,n.i.O.,i.O.,15,57
57,57,3.333333333333333,2.3009999999999997,-12.180666666666674,206.65099999999998,190.00370370370376,0.4615384615384616,635.4,1.0,0.0,,0.5,0.4638461538461538,4755.666666666667,398.18,3.571428571428572,1.0,7.25,-287.0616,21.538461538461537,2019-12-09 08:24:40.591,,,,0.17,,,,,i.O.,n.i.O.,i.O.,15,58
58,58,4.0,-6.669521739130436,0.0,-338.04587500000014,189.8532,0.5,635.5,0.8,1.0,,0.5555555555555556,0.5516666666666665,0.0,410.33,0.5,0.7777777777777778,372.5,-290.78,18.666666666666668,2019-12-09 08:24:45.849,,,27.875,0.14,,,,,i.O.,n.i.O.,i.O.,15,59
