,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Main_Spindle.Temperature_Spindle,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.C1_Axis.Actual_Power,12430012063.Maintenance_Package.Tool_Changer_Main,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
48,48,,-14.572880000000005,297.0755,261.3983076923077,178.5172413793103,0.5,951.4666666666667,1.8333333333333333,1.0,0.15,,0.5,0.1423076923076923,9.5,1.0,416.45454545454544,-308.75259259259263,26.6,2019-12-16 08:29:48.256,26.6,2748.5,388.705,,,,,,,,i.O.,n.i.O.,i.O.,23,49
49,49,6.0,-14.203481481481482,-146.846,540.0128461538462,183.3493103448276,0.5333333333333333,951.5,2.0,0.3333333333333333,0.15,,0.5,0.13133333333333333,1.75,0.8,211.375,-309.5192857142857,24.4,2019-12-16 08:29:54.055,26.605,4464.0,406.27,,,,,,,,i.O.,n.i.O.,i.O.,23,50
50,50,6.5,-17.12035714285714,-110.9805,317.9116363636364,175.77137931034488,0.4666666666666667,951.5,1.6,1.0,0.15,,0.5,0.18000000000000002,4.166666666666667,1.0,238.2,-309.48142857142864,17.818181818181817,2019-12-16 08:29:59.878,26.605,3343.5,424.03,,,,,,,,i.O.,n.i.O.,i.O.,23,51
51,51,7.0,-7.101814814814813,,-166.7382,181.0092857142857,0.5,951.5,0.5,0.75,0.05,,0.5,0.12285714285714287,4.333333333333333,0.5,75.71428571428571,-312.7551851851852,14.3,2019-12-16 08:30:05.667,,533.0,440.26,,,,,,,,i.O.,i.O.,i.O.,23,52
52,52,,-11.362777777777776,227.3745,-207.49008333333336,182.70206896551724,0.5294117647058824,951.4117647058824,2.0,1.0,0.05,,0.5,0.15923076923076926,7.333333333333332,1.0,173.54545454545453,-309.5099999999999,17.272727272727273,2019-12-16 08:30:11.249,26.605,230.5,447.85,,74.38,,,,,,i.O.,n.i.O.,i.O.,23,53
53,53,,-2.054464285714286,308.5795,237.2650714285714,175.1206896551724,0.5,951.5,2.2,0.75,,,0.3333333333333333,0.11266666666666668,6.833333333333332,1.25,296.3333333333333,-308.75592592592585,26.6,2019-12-16 08:30:17.054,,2748.5,463.705,,,,-337.58,,,,i.O.,n.i.O.,i.O.,23,54
54,54,6.333333333333332,-14.700566666666667,1368.3059999999996,535.421923076923,187.533,0.4615384615384616,951.529411764706,2.333333333333333,0.8,0.15,,0.6,0.14714285714285716,20.571428571428573,2.571428571428572,220.5,-309.50499999999994,24.2,2019-12-16 08:30:22.854,,-12036.0,391.2866666666666,,,1503.0,-324.865,52.74733333333334,,,n.i.O.,n.i.O.,i.O.,23,55
55,55,6.5,-14.012384615384615,-109.62700000000001,347.09170000000006,175.11137931034486,0.5,951.5,1.75,1.0,0.03333333333333333,0.05,0.5,0.16642857142857145,6.0,0.7142857142857143,158.66666666666666,-309.48107142857134,17.90909090909091,2019-12-16 08:30:28.859,,3343.5,364.03,20.825,,,,,,,i.O.,n.i.O.,i.O.,23,56
56,56,7.0,-7.1017777777777775,,-160.56627272727272,170.47892857142855,0.5384615384615384,951.4615384615383,1.6,0.3333333333333333,0.15000000000000002,,0.5,0.18500000000000005,4.666666666666667,0.6666666666666666,-70.0,-312.68222222222215,13.5,2019-12-16 08:30:34.722,26.605,533.0,380.26,20.825,,,,,,,i.O.,n.i.O.,i.O.,23,57
57,57,,-11.362888888888893,224.6675,-169.9709333333334,192.5262068965517,0.5,951.5,1.8,1.0,0.05000000000000001,,0.42857142857142855,0.11200000000000004,8.0,0.6666666666666666,0.1111111111111111,-309.5128571428572,17.454545454545453,2019-12-16 08:30:40.258,26.605,360.0,387.87,20.826666666666668,,,,,,,n.i.O.,n.i.O.,i.O.,23,58
