,Unnamed: 0,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
35,35,-2.255941176470589,108.39856,170.58081967213116,0.5238095238095238,951.48,0.5,1.2,,0.6,0.3477777777777777,9.375,0.8888888888888888,-1354.576923076923,-295.9915555555557,20.363636363636363,2019-12-11 09:26:55.639,7.5,55.21959999999999,3598.2,464.92,,,,0.14,,,74.63,i.O.,n.i.O.,i.O.,20,36
36,36,-7.064473684210527,313.33362499999987,182.89761904761903,0.4705882352941176,951.5,2.2,1.0,,0.5,0.4342857142857143,22.857142857142854,2.3125,19.642857142857142,-294.93152173913035,15.714285714285715,2019-12-11 09:26:59.078,7.5,490.9900000000002,-15999.444444444443,398.0022222222222,,,61.652571428571434,0.15000000000000002,1999.888888888889,-359.38625,,n.i.O.,n.i.O.,i.O.,20,37
37,37,-15.5794375,277.62081481481493,188.83762711864398,0.55,951.52,0.5,0.5,,0.5,0.3275,7.8,0.8333333333333334,-67.85185185185185,-295.0967391304348,17.833333333333332,2019-12-11 09:27:02.739,6.5,88.7842,3601.2,359.02,,,,0.2,,,,i.O.,n.i.O.,i.O.,20,38
38,38,-14.381125,375.59190476190486,182.4332727272728,0.5,951.4761904761904,1.5,0.5,,0.3333333333333333,0.335,8.5,0.8333333333333334,-515.0,-293.1959523809525,21.545454545454547,2019-12-11 09:27:06.176,7.5,97.9874,3601.8,374.922,,,,0.13333333333333333,,,,i.O.,n.i.O.,i.O.,20,39
39,39,-13.535235294117653,268.7099629629629,183.62684210526317,0.5238095238095238,951.5,2.0,0.5,,0.6666666666666666,0.425,5.266666666666667,0.8333333333333334,-79.57142857142857,-293.35883720930235,17.083333333333332,2019-12-11 09:27:09.634,7.5,112.60439999999998,3600.2,389.802,,,,0.15,,,,i.O.,n.i.O.,i.O.,20,40
40,40,-4.511764705882354,282.82628571428563,189.11933333333337,0.4761904761904762,951.5,1.0,0.8,,,0.47625,10.111111111111109,0.75,-40.94736842105263,-293.0655319148936,17.333333333333332,2019-12-11 09:27:13.084,7.5,97.4462,3601.2,404.682,26.185,,,0.16,,,,i.O.,n.i.O.,i.O.,20,41
41,41,-7.190500000000003,325.22358333333324,173.67035087719296,0.5,951.5,1.6,0.5,,0.5,0.615,7.4,0.8333333333333334,-10.034482758620689,-292.07866666666666,23.444444444444446,2019-12-11 09:27:16.583,7.5,112.87499999999996,3599.4,419.32199999999995,26.185,,,0.15000000000000002,,,,n.i.O.,n.i.O.,i.O.,20,42
42,42,-2.255882352941176,304.4386153846154,180.53145161290317,0.5,951.5,1.6,0.75,,0.3333333333333333,0.4428571428571428,9.333333333333334,1.0,53.60714285714285,-294.2040816326532,21.9,2019-12-11 09:27:20.035,7.5,91.01750000000004,3600.0,433.962,,,,0.15000000000000002,,,,i.O.,n.i.O.,i.O.,20,43
43,43,-5.63970588235294,278.3448,187.93967741935487,0.5217391304347826,951.5,1.75,1.0,,0.5,0.3642857142857143,17.0,0.8333333333333334,-127.93103448275862,-294.28959183673464,18.0,2019-12-11 09:27:23.484,7.5,90.67925,3598.0,448.602,,,,0.1,,,,n.i.O.,n.i.O.,i.O.,20,44
44,44,-12.783133333333332,281.0055925925925,180.07416666666663,0.4761904761904762,951.5,1.5714285714285714,0.5,,0.6,0.5085714285714287,9.625,0.9,-28.516129032258068,-293.63083333333344,18.5,2019-12-11 09:27:26.937,7.5,53.86600000000001,3598.4,463.24199999999996,,,,0.15,,,,n.i.O.,n.i.O.,i.O.,20,45
