Date,Time,Program,Workpiece no.,Testpoint,Plane,Probe no.,Cycle,S_MVAR,Measuring variant,Results,Setpoint,Measured,Difference,Unit
2019-11-20,12:19:12,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,60.0,59.993,-0.007,mm
2019-11-20,12:19:12,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,105.0,104.988,-0.012,mm
2019-11-20,12:19:12,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:19:17,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,75.0,74.977,-0.023,mm
2019-11-20,12:19:17,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,105.0,105.006,0.006,mm
2019-11-20,12:19:17,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:19:21,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,90.0,89.996,-0.004,mm
2019-11-20,12:19:21,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,105.0,104.995,-0.005,mm
2019-11-20,12:19:21,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.02,0.011,mm
2019-11-20,12:19:26,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,105.0,104.986,-0.014,mm
2019-11-20,12:19:26,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,105.0,105.011,0.011,mm
2019-11-20,12:19:26,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.021,0.012,mm
2019-11-20,12:19:31,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,120.0,119.994,-0.006,mm
2019-11-20,12:19:31,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,105.0,105.005,0.005,mm
2019-11-20,12:19:31,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:19:36,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,135.0,134.985,-0.015,mm
2019-11-20,12:19:36,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,105.0,105.011,0.011,mm
2019-11-20,12:19:36,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:19:44,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,15.0,15.013,0.013,mm
2019-11-20,12:19:44,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,120.0,120.022,0.022,mm
2019-11-20,12:19:44,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:19:49,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,30.0,29.996,-0.004,mm
2019-11-20,12:19:49,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,120.0,119.994,-0.006,mm
2019-11-20,12:19:49,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:19:54,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,45.0,44.987,-0.013,mm
2019-11-20,12:19:54,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,120.0,120.005,0.005,mm
2019-11-20,12:19:54,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.02,0.011,mm
