Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
44,7.2857142857142865,,6.902960000000002,-201.4287272727273,175.84028571428573,0.5,317.29411764705884,1.6666666666666667,1.0,,,0.5,1.2,,206.94736842105263,-308.2628985507246,18.214285714285715,2019-11-27 09:27:54.315,368.13,155.66666666666666,471.4933333333333,6.2,0.25,,,436.0,,i.O.,n.i.O.,i.O.,8,45
45,7.2,,6.52763829787234,-17.463909090909098,189.72112676056332,0.5,317.3,1.6666666666666667,1.0,,,0.5,1.375,,143.76923076923075,-308.24898550724635,13.647058823529413,2019-11-27 09:28:08.308,-286.92466666666667,-17263.0,373.635,8.25,0.25,,18.495666666666672,2031.0,-339.4650000000001,i.O.,n.i.O.,i.O.,8,46
46,7.5,,7.143627450980393,411.7166666666666,174.47605633802812,0.5135135135135135,317.3157894736842,2.0,0.6666666666666666,74.37,,0.5,0.8333333333333334,,-91.07142857142857,-308.2571014492753,13.192307692307693,2019-11-27 09:28:22.538,-5.4135,3224.666666666666,370.66333333333336,2.75,0.2518518518518518,,,,,i.O.,n.i.O.,i.O.,8,47
47,7.5,,9.391795918367349,354.6523846153847,178.85342857142854,0.5,317.375,2.0,1.0,,,0.4838709677419355,0.7142857142857143,25.03,-75.3529411764706,-308.1247058823529,20.30769230769231,2019-11-27 09:28:36.825,-262.563,0.0,381.68,12.5,0.2454545454545455,26.775,,,,i.O.,n.i.O.,i.O.,8,48
48,7.2,,14.57288,45.048923076923074,179.60414285714288,0.5263157894736842,317.125,2.0,0.5,74.36,0.05,0.5,1.0,25.034000000000002,92.57142857142857,-308.25797101449274,16.772727272727273,2019-11-27 09:28:50.737,154.2895,1185.0,396.435,1.125,0.09090909090909093,,,,,i.O.,n.i.O.,i.O.,8,49
49,7.5,,8.321169811320758,-71.38172727272728,181.94014285714292,0.5128205128205128,317.1333333333333,1.5,1.0,,0.05000000000000001,0.5185185185185185,0.5,25.03,167.1875,-308.3402898550725,14.705882352941178,2019-11-27 09:29:04.766,290.985,373.5,411.635,21.0,0.09411764705882354,,,,,i.O.,n.i.O.,i.O.,8,50
50,7.5,,9.064472727272726,441.8378,172.01591549295773,0.4848484848484849,317.25,1.5,0.5,,0.05,0.5,1.0,25.03,-39.6,-306.8195714285714,14.538461538461537,2019-11-27 09:29:18.748,-1.3535,1918.666666666667,422.26666666666665,1.2857142857142858,0.13666666666666671,,,,,i.O.,n.i.O.,i.O.,8,51
51,7.5,,7.959433962264153,569.5280000000001,177.26285714285714,0.5,317.2608695652174,1.6666666666666667,1.0,74.35,,0.5,1.0,25.03,-137.4,-308.1073529411765,17.823529411764707,2019-11-27 09:29:32.972,-242.9385,4464.0,445.12,7.75,0.17647058823529416,,,,,i.O.,n.i.O.,i.O.,8,52
52,7.2,,11.2995,104.87500000000007,183.31957142857135,0.5,317.1818181818182,1.0,1.0,,0.07142857142857142,0.5,1.0,25.03,88.41666666666669,-308.3175362318841,22.6,2019-11-27 09:29:47.007,78.4985,0.0,456.68,2.0,0.07619047619047621,26.775,,,,i.O.,n.i.O.,i.O.,8,53
53,7.5,,5.065075471698113,-69.34709090909088,188.74714285714282,0.5,317.2857142857143,0.0,0.6,74.34,0.04736842105263157,0.5,0.8,25.03,180.75,-308.34057971014494,15.133333333333333,2019-11-27 09:30:00.986,293.015,587.6666666666666,471.5633333333333,10.75,0.05,,,14.0,,i.O.,n.i.O.,i.O.,8,54
54,7.333333333333332,,13.138333333333335,404.72258333333326,175.62722222222226,0.5,317.22727272727275,2.4,0.5,,0.054545454545454536,0.5,1.181818181818182,,-36.7,-308.34478260869565,14.26086956521739,2019-11-27 09:30:15.031,687.9876666666665,-9707.0,371.09,4.0,0.051515151515151535,,65.763,2235.5,-324.91,i.O.,n.i.O.,i.O.,8,55
55,7.5,,12.913693877551026,308.41663636363637,181.08457142857142,0.5,317.4,1.5,1.0,,0.045454545454545456,0.48,0.7142857142857143,,-29.33333333333333,-308.1601470588235,16.347826086956523,2019-11-27 09:30:29.429,-230.75799999999998,0.0,366.68,10.0,0.04827586206896552,,,,,i.O.,n.i.O.,i.O.,8,56
