,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,Label
35,,-13.119631578947372,483.73418181818175,185.0025,0.45454545454545453,951.4545454545455,1.6,0.6666666666666666,,0.05,,,0.16333333333333333,0.75,-179.5,-304.0221052631579,14.916666666666666,2019-12-16 08:58:44.631,2447.5,469.615,1.875,2464.575,,152.076,,,,,-
36,6.6,-13.119578947368423,99.18836363636363,174.62761904761902,0.5,951.5,1.6,1.0,,0.05,,0.5,0.194,2.625,-79.0,-302.4844444444444,20.153846153846153,2019-12-16 08:58:48.760,-12029.666666666666,387.27666666666664,12.428571428571429,-1069.6516666666666,,-27.7435,1498.3333333333333,-356.0,,,-
37,6.5,-15.339799999999997,-236.55450000000005,177.96749999999997,0.5454545454545454,951.5454545454545,2.0,0.8,,0.10000000000000002,,0.4,0.1325,0.7142857142857143,-140.75,-304.01894736842104,25.5,2019-12-16 08:58:52.817,4252.0,360.395,2.0,120.454,,,,,,,-
38,6.5,-12.46355,-187.67387499999995,178.04899999999998,0.4444444444444444,951.4545454545455,1.4,0.6666666666666666,,0.0,0.1,0.6666666666666666,0.1527272727272727,0.7142857142857143,47.36363636363637,-304.0531578947368,24.4,2019-12-16 08:58:56.826,2418.5,373.53499999999997,6.333333333333333,0.0,,,,,,,-
39,6.5,-12.783222222222223,284.1139999999999,178.129,0.5,951.5454545454545,2.0,0.6,27.165,0.06666666666666667,0.0,,0.09777777777777778,0.4,158.84615384615384,-304.08263157894737,18.727272727272727,2019-12-16 08:59:00.878,360.0,387.87,14.666666666666666,,,,,,,,-
40,,-6.711149999999998,490.5163333333333,178.03857142857143,0.5,951.5,1.5,0.75,27.165,,,0.5,0.13333333333333333,1.0,57.69230769230769,-304.06526315789466,14.5,2019-12-16 08:59:04.829,140.5,410.32,8.0,-200.75699999999998,,,,,,,-
41,,-7.669899999999998,593.2652727272726,171.09199999999996,0.5454545454545454,951.4545454545455,2.2,1.0,27.15,0.15000000000000002,,0.5,0.163,0.8,163.58333333333334,-304.0231578947368,14.1,2019-12-16 08:59:09.055,1763.5,424.895,1.75,32.482,,,,,,,-
42,,-7.669900000000001,185.32118181818177,189.173,0.45454545454545453,951.5454545454545,1.7142857142857142,0.5,27.165,0.08333333333333333,0.05,0.5,0.181,1.0,-225.77777777777777,-302.5105555555556,18.0,2019-12-16 08:59:13.062,3980.5,438.29499999999996,7.5,367.453,74.19,,,,,,-
43,6.5,-17.257250000000003,-246.19081818181814,171.254,0.5454545454545454,951.4285714285714,2.0,1.0,,0.05,0.05,0.3333333333333333,0.17600000000000002,0.8,-107.9090909090909,-304.0021052631579,27.555555555555557,2019-12-16 08:59:17.023,4422.0,450.975,6.0,224.6675,,,,,,,-
44,6.5,-6.7112000000000025,-168.14423076923077,189.33400000000003,0.46153846153846156,951.5,2.0,0.5,,0.05,,0.6666666666666666,0.17555555555555558,1.0,16.214285714285715,-304.0442105263157,22.23076923076923,2019-12-16 08:59:21.028,3049.5,463.9,4.0,3.3835,,,,,,,-
